archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Temur Surprise,0.63636363636364,11,0.31,0.89,/Standard/temur-surprise
Bant Chocobo,0.36363636363636,11,0.11,0.69,/Standard/bant-chocobo
Esper Flash,0.3,10,0.07,0.65,/Standard/esper-flash
Mardu Midrange,0.44444444444444,9,0.14,0.79,/Standard/mardu-midrange
Orzhov Control,0.44444444444444,9,0.14,0.79,/Standard/orzhov-control
Dimir Demons,0.66666666666667,9,0.3,0.93,/Standard/dimir-demons
Golgari Deathtouch,0.44444444444444,9,0.14,0.79,/Standard/golgari-deathtouch
Mono Blue Proft,0.55555555555556,9,0.21,0.86,/Standard/mono-blue-proft
Jeskai Flash,0.55555555555556,9,0.21,0.86,/Standard/jeskai-flash
Simic Cauldron,0.11111111111111,9,0.0,0.48,/Standard/simic-cauldron
Golgari Earthbend,0.55555555555556,9,0.21,0.86,/Standard/golgari-earthbend
Golgari Landfall,0.33333333333333,9,0.07,0.7,/Standard/golgari-landfall
Izzet Flash,0.33333333333333,9,0.07,0.7,/Standard/izzet-flash
Sultai Graveyard,0.44444444444444,9,0.14,0.79,/Standard/sultai-graveyard
Mono Black Moonshadow,0.11111111111111,9,0.0,0.48,/Standard/mono-black-moonshadow
Selesnya Kithkins,0.55555555555556,9,0.21,0.86,/Standard/selesnya-kithkins
Selesnya Rhythm,0.55555555555556,9,0.21,0.86,/Standard/selesnya-rhythm
Simic Frogs,0.375,8,0.09,0.76,/Standard/simic-frogs
Abzan Roots,0.25,8,0.03,0.65,/Standard/abzan-roots
Jeskai Oculus,0.25,8,0.03,0.65,/Standard/jeskai-oculus
Temur Cauldron,0.5,8,0.16,0.84,/Standard/temur-cauldron
Rakdos Leyline,0.25,8,0.03,0.65,/Standard/rakdos-leyline
Mono Black Ugin,0.5,8,0.16,0.84,/Standard/mono-black-ugin
Dimir Flash,0.625,8,0.24,0.91,/Standard/dimir-flash
Esper Flyers,0.5,8,0.16,0.84,/Standard/esper-flyers
Dimir Faeries,0.14285714285714,7,0.0,0.58,/Standard/dimir-faeries
Gruul Surprise,0.71428571428571,7,0.29,0.96,/Standard/gruul-surprise
Rakdos Lizards,0.42857142857143,7,0.1,0.82,/Standard/rakdos-lizards
Izzet Dragons,0.42857142857143,7,0.1,0.82,/Standard/izzet-dragons
Bant Cage,0.28571428571429,7,0.04,0.71,/Standard/bant-cage
Abzan Lifegain,0.42857142857143,7,0.1,0.82,/Standard/abzan-lifegain
Rakdos Demons,0.42857142857143,7,0.1,0.82,/Standard/rakdos-demons
Rakdos Weapons,0.42857142857143,7,0.1,0.82,/Standard/rakdos-weapons
Mono White Pixie,0.42857142857143,7,0.1,0.82,/Standard/mono-white-pixie
Cats Aggro,0.66666666666667,6,0.22,0.96,/Standard/cats-aggro
Boros Discover,0.16666666666667,6,0.0,0.64,/Standard/boros-discover
Jeskai Midrange,0.16666666666667,6,0.0,0.64,/Standard/jeskai-midrange
